Rank,Name,Team,Position,Week,Opponent,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGame,FantasyPoints
1,Antonio Brown,PIT,WR,1,CLE,11.89,7.3,58.3,102.3,0.7,0,8.5,14.6,0,0,0,0,0,0,14.4,14.43
2,DeAndre Hopkins,HOU,WR,1,NE,10.47,6.2,60,91.2,0.6,0,9.1,15.2,0,0,0,0,0.1,0.1,12.5,12.52
3,Michael Thomas,NO,WR,1,TB,10.78,7,63.6,90.3,0.5,0,8.2,12.9,0,0,0,0,0,0,12,12.03
4,Julio Jones,ATL,WR,1,PHI,8.78,6.1,66.7,90.5,0.4,0,10,15,0.1,0.5,0,0,0,0,11.5,11.5
5,Keenan Allen,LAC,WR,1,KC,10.37,6.1,60,82,0.5,0,8.2,13.7,0.1,0.3,0,0,0,0,11.2,11.23
6,AJ Green,CIN,WR,1,IND,8.43,5.9,75,84,0.5,0,10.5,14,0,0,0,0,0.1,0.1,11.2,11.2
7,Davante Adams,GB,WR,1,CHI,7.04,5.3,71.4,67.6,0.6,0,9.7,13.6,0.1,0.3,0,0,0,0,10.4,10.39
8,Stefon Diggs,MIN,WR,1,SF,9.11,5.3,55.6,68.8,0.5,0,7.7,13.8,0.4,1.5,0,0,0,0,10,10.03
9,T.Y. Hilton,IND,WR,1,CIN,6.76,4.7,71.4,71.3,0.5,0,10.1,14.2,0,0,0,0,0.1,0.1,9.9,9.93
10,Tyreek Hill,KC,WR,1,LAC,7.19,5.1,71.4,68.4,0.4,0,9.7,13.6,1.1,5.9,6,0,0,0,9.8,9.83
11,Adam Thielen,MIN,WR,1,SF,7.1,5.3,71.4,72.8,0.4,0,10.4,14.6,0.1,0.3,0,0,0,0,9.7,9.71
12,Chris Hogan,NE,WR,1,HOU,6.53,4.6,71.4,66,0.5,0,9.4,13.2,0.2,1,0,0,0,0,9.7,9.7
13,Odell Beckham Jr,NYG,WR,1,JAX,9.01,5.4,55.6,70.8,0.4,0,7.9,14.2,0.1,0.5,0,0,0.1,0.1,9.3,9.33
14,Mike Evans,TB,WR,1,NO,7.2,4.8,71.4,69.2,0.4,0,9.9,13.8,0,0,0,0,0,0,9.3,9.32
15,Marvin Jones,DET,WR,1,NYJ,6.72,4,57.1,62.8,0.5,0,9,15.8,0,0,0,0,0,0,9.3,9.28
16,Juju Smith-Schuster,PIT,WR,1,CLE,7.54,4.6,62.5,61.1,0.5,0,7.6,12.2,0,0,0,0,0,0,9.1,9.11
17,Golden Tate,DET,WR,1,NYJ,8.96,5.6,66.7,65,0.4,0,7.2,10.8,0.3,1,0,0,0,0,9,9
18,Larry Fitzgerald,ARI,WR,1,WAS,8.49,6.2,75,67.6,0.4,0,8.5,11.3,0,0,0,0,0.1,0.1,9,8.96
19,Demaryius Thomas,DEN,WR,1,SEA,8.03,5.5,75,66.1,0.4,0,8.2,11,0,0,0,0,0.1,0.1,8.8,8.81
20,Jarvis Landry,CLE,WR,1,PIT,11.39,6.4,54.5,67.8,0.4,0,6.2,11.3,0.1,0.2,0,0,0.2,0.2,8.8,8.8
21,Amari Cooper,OAK,WR,1,LAR,6.81,4.9,71.4,63.5,0.4,0,9.1,12.8,0.1,0.3,0,0,0,0,8.8,8.78
22,Brandin Cooks,LAR,WR,1,OAK,5.86,4.1,66.7,62.3,0.4,0,10.3,15.5,0.4,1.4,0,0,0,0,8.8,8.77
23,Doug Baldwin,SEA,WR,1,DEN,7.74,4.9,62.5,62.6,0.4,0,7.9,12.6,0.1,0.3,0,0,0,0,8.7,8.69
24,Kenny Stills,MIA,WR,1,TEN,6.04,3.9,66.7,57.9,0.4,0,9.7,14.5,0,0,0,0,0,0,8.2,8.19
25,Nelson Agholor,PHI,WR,1,ATL,7.53,4.8,62.5,55.8,0.4,0,7,11.2,0.3,1.6,0,0,0,0,8.1,8.14
26,Allen Robinson,CHI,WR,1,GB,7.56,4.3,50,61.1,0.3,0,7.6,15.2,0,0,0,0,0,0,7.9,7.91
27,Will Fuller,HOU,WR,1,NE,5.54,3.6,66.7,53.4,0.4,0,8.8,13.2,0.2,0.7,0,0,0,0,7.8,7.81
28,Robby Anderson,NYJ,WR,1,DET,5.71,4.3,66.7,58.9,0.3,0,9.8,14.8,0.2,0.8,0,0,0,0,7.8,7.77
28,Cooper Kupp,LAR,WR,1,OAK,5.93,4.3,66.7,55.7,0.4,0,9.3,14,0,0,0,0,0.1,0.1,7.8,7.77
30,Michael Crabtree,BAL,WR,1,BUF,7.49,4.9,71.4,53.4,0.4,0,7.6,10.6,0,0,0,0,0,0,7.7,7.74
31,Emmanuel Sanders,DEN,WR,1,SEA,6.52,4.5,57.1,58.9,0.3,0,8.4,14.8,0,0.3,0,0,0,0,7.7,7.72
32,Devin Funchess,CAR,WR,1,DAL,5.89,3.8,66.7,53,0.4,0,8.8,13.2,0,0,0,0,0,0,7.7,7.7
33,Robert Woods,LAR,WR,1,OAK,7.09,4.3,57.1,57.4,0.3,0,8.1,14.2,0.2,0.7,0,0,0,0,7.6,7.61
34,Corey Davis,TEN,WR,1,MIA,7.15,4.5,57.1,58.1,0.3,0,8.3,14.5,0,0,0,0,0.1,0.1,7.4,7.41
35,Marquise Goodwin,SF,WR,1,MIN,6,3.8,66.7,54.9,0.3,0,9.2,13.8,0.2,1,0,0,0,0,7.4,7.39
36,Randall Cobb,GB,WR,1,CHI,7.56,4.4,50,47.5,0.4,0,6,12,0.5,1.7,0,0,0,0,7.3,7.32
37,Jamison Crowder,WAS,WR,1,ARI,8.14,4.6,62.5,54.1,0.3,0,6.8,10.8,0.3,1.2,0,0,0.1,0.1,7.1,7.13
38,Josh Gordon,CLE,WR,1,PIT,5.29,3.6,80,52.6,0.3,0,10.6,13.2,0.1,0.4,0,0,0,0,7.1,7.1
39,Tyrell Williams,LAC,WR,1,KC,4.06,3.1,75,46.5,0.4,0,11.5,15.3,0,0,0,0,0,0,7,7.05
40,Keelan Cole,JAX,WR,1,NYG,5.11,3.5,80,51.4,0.3,0,10.2,12.8,0,0.1,0,0,0,0,7,6.95
41,Ted Ginn,NO,WR,1,TB,5.54,3.3,50,47.3,0.3,0,7.8,15.7,0.5,2.2,0,0,0,0,6.8,6.75
41,Sterling Shepard,NYG,WR,1,JAX,5.46,4.2,80,48.9,0.3,0,9.8,12.2,0.2,0.6,0,0,0,0,6.8,6.75
43,Pierre Garcon,SF,WR,1,MIN,7.47,4.2,57.1,53.5,0.2,0,7.7,13.5,0,0.1,0,0,0,0,6.6,6.56
44,Sammy Watkins,KC,WR,1,LAC,4.42,3.3,75,47.3,0.3,0,11.8,15.7,0.1,0.2,0,0,0,0,6.6,6.55
45,Kenny Golladay,DET,WR,1,NYJ,5.23,3.1,60,46.9,0.3,0,9.4,15.7,0.1,0.4,0,0,0,0,6.5,6.53
46,Kelvin Benjamin,BUF,WR,1,BAL,6.22,3.6,66.7,46.7,0.3,0,7.8,11.8,0,0,0,0,0,0,6.5,6.47
47,DeSean Jackson,TB,WR,1,NO,5.02,3.1,60,45.3,0.3,0,9,15,0.2,1,0,0,0,0,6.4,6.43
48,Mohamed Sanu,ATL,WR,1,PHI,6.9,3.9,57.1,44.7,0.3,0,6.4,11.2,0.1,0.5,0,0,0,0,6.3,6.32
49,Quincy Enunwa,NYJ,WR,1,DET,5.16,3.4,60,43.7,0.3,0,8.8,14.7,0,0.2,0,0,0,0,6.2,6.19
50,Rishard Matthews,TEN,WR,1,MIA,5.28,3,60,42.1,0.3,0,8.4,14,0,0,0,0,0,0,6,6.01
51,Tyler Lockett,SEA,WR,1,DEN,4.24,3.1,75,39.9,0.3,0,10,13.3,0.5,2.1,0,0,0,0,6,6
52,Danny Amendola,MIA,WR,1,TEN,7.26,4.2,57.1,45.8,0.2,0,6.6,11.5,0.1,0.2,0,0,0,0,5.8,5.8
53,Josh Doctson,WAS,WR,1,ARI,4.65,3,60,39.8,0.3,0,8,13.3,0,0,0,0,0,0,5.8,5.78
54,Dede Westbrook,JAX,WR,1,NYG,4.83,3,60,39.7,0.3,0,8,13.3,0,0,0,0,0,0,5.8,5.77
54,Jordy Nelson,OAK,WR,1,LAR,7.13,4.1,57.1,45.4,0.2,0,6.4,11.2,0.1,0.3,0,0,0,0,5.8,5.77
56,Allen Hurns,DAL,WR,1,CAR,5.61,3.4,50,43.3,0.2,0,7.2,14.3,0,0,0,0,0,0,5.5,5.53
57,John Brown,BAL,WR,1,BUF,5.56,3.2,50,41.4,0.2,0,6.8,13.7,0.1,0.3,0,0,0,0,5.4,5.37
58,Paul Richardson,WAS,WR,1,ARI,4.02,3,75,41.6,0.2,0,10.5,14,0,0,0,0,0,0,5.4,5.36
59,John Ross,CIN,WR,1,IND,4.66,2.9,60,39.9,0.2,0,8,13.3,0.3,1.5,0,0,0,0,5.3,5.34
60,Mike Wallace,PHI,WR,1,ATL,4.31,2.8,75,39.1,0.2,0,9.8,13,0.1,0.2,0,0,0,0,5.1,5.13
60,Chris Godwin,TB,WR,1,NO,3.78,2.8,75,39.3,0.2,0,9.8,13,0,0,0,0,0,0,5.1,5.13
62,Donte Moncrief,JAX,WR,1,NYG,4.64,2.8,60,38.6,0.2,0,7.8,13,0,0,0,0,0,0,5.1,5.06
63,Cameron Meredith,NO,WR,1,TB,4.06,2.9,75,40.3,0.2,0,10,13.3,0,0,0,0,0.1,0.1,5,5.03
64,Mike Williams,LAC,WR,1,KC,4.67,2.7,60,37.4,0.2,0,7.4,12.3,0,0,0,0,0,0,4.9,4.94
65,Michael Gallup,DAL,WR,1,CAR,4.84,2.9,60,37.2,0.2,0,7.4,12.3,0,0.1,0,0,0,0,4.9,4.93
65,Anthony Miller,CHI,WR,1,GB,3.89,2.8,75,37.1,0.2,0,9.2,12.3,0,0.2,0,0,0,0,4.9,4.93
67,Ryan Grant,IND,WR,1,CIN,4.26,3,75,37.1,0.2,0,9.2,12.3,0,0,0,0,0,0,4.9,4.91
68,Albert Wilson,MIA,WR,1,TEN,4.37,2.9,75,36.4,0.2,0,9,12,0.1,0.6,0,0,0,0,4.9,4.9
69,Calvin Ridley,ATL,WR,1,PHI,4.9,2.9,60,36.2,0.2,0,7.2,12,0.1,0.3,0,0,0,0,4.8,4.85
70,Phillip Dorsett,NE,WR,1,HOU,3.69,2.6,75,35.8,0.2,0,9,12,0,0.1,0,0,0,0,4.8,4.79
71,D.J. Moore,CAR,WR,1,DAL,4.48,2.7,75,35,0.2,0,8.8,11.7,0.1,0.6,0,0,0,0,4.8,4.76
72,Courtland Sutton,DEN,WR,1,SEA,4.34,2.6,75,33.7,0.2,0,8.5,11.3,0,0.1,0,0,0,0,4.6,4.58
73,Terrance Williams,DAL,WR,1,CAR,3.72,2.8,75,33.3,0.2,0,8.2,11,0.1,0.4,0,0,0,0,4.6,4.57
74,Taywan Taylor,TEN,WR,1,MIA,3.88,2.4,50,32.2,0.2,0,8,16,0.3,1.4,0,0,0,0,4.6,4.56
75,Geronimo Allison,GB,WR,1,CHI,5.07,2.9,60,34.7,0.2,0,7,11.7,0.1,0.2,0,0,0.1,0.1,4.5,4.49
76,Christian Kirk,ARI,WR,1,WAS,3.97,2.5,50,31.2,0.2,0,7.8,15.5,0,0.1,0,0,0,0,4.3,4.33
77,James Washington,PIT,WR,1,CLE,3.96,2.4,50,30.3,0.2,0,7.5,15,0,0.3,0,0,0,0,4.3,4.26
78,Travis Benjamin,LAC,WR,1,KC,3.4,2.1,66.7,32.9,0.1,0,11,16.5,0.6,3.6,4,0,0,0,4.2,4.25
79,Terrelle Pryor,NYJ,WR,1,DET,3.6,2.5,50,31.3,0.1,0,7.8,15.5,0.2,0.9,0,0,0,0,3.8,3.82
80,Chad Williams,ARI,WR,1,WAS,2.96,2.1,66.7,26.7,0.2,0,9,13.5,0.2,1.1,0,0,0.1,0.1,3.8,3.78
81,Chester Rogers,IND,WR,1,CIN,4.09,2.3,50,30.1,0.1,0,7.5,15,0.1,0.6,0,0,0,0,3.7,3.67
81,Taylor Gabriel,CHI,WR,1,GB,4.04,2.3,50,29.2,0.1,0,7.2,14.5,0.3,1.5,0,0,0,0,3.7,3.67
83,JJ Nelson,ARI,WR,1,WAS,3.24,2,66.7,31,0.1,0,10.3,15.5,0.2,1.1,0,0,0.1,0.1,3.6,3.61
84,Antonio Callaway,CLE,WR,1,PIT,4.15,2.4,50,31.5,0.1,0,8,16,0,0.1,0,0,0.1,0.1,3.6,3.56
85,Adam Humphries,TB,WR,1,NO,4.1,2.7,75,29,0.1,0,7.2,9.7,0.1,0.2,0,0,0,0,3.5,3.52
85,Tre'Quan Smith,NO,WR,1,TB,2.86,1.9,66.7,25.1,0.2,0,8.3,12.5,0,0.1,0,0,0.1,0.1,3.5,3.52
87,Tyler Boyd,CIN,WR,1,IND,3.19,2.4,66.7,28.6,0.1,0,9.7,14.5,0,0.2,0,0,0,0,3.5,3.48
88,Cole Beasley,DAL,WR,1,CAR,3.82,2.6,75,28.2,0.1,0,7,9.3,0,0,0,0,0,0,3.4,3.42
89,Willie Snead,BAL,WR,1,BUF,3.47,2.5,66.7,27.7,0.1,0,9.3,14,0,0,0,0,0,0,3.4,3.37
90,Brandon Marshall,SEA,WR,1,DEN,4.15,2.4,50,27.5,0.1,0,7,14,0,0,0,0,0,0,3.4,3.35
91,Cordarrelle Patterson,NE,WR,1,HOU,2.9,1.9,66.7,20,0.1,0,6.7,10,1,6.3,6,0,0,0,3.2,3.23
92,Zay Jones,BUF,WR,1,BAL,3.01,2.2,66.7,26.2,0.1,0,8.7,13,0,0,0,0,0,0,3.2,3.22
93,Trent Taylor,SF,WR,1,MIN,3.55,2.5,50,25.9,0.1,0,6.5,13,0,0,0,0,0,0,3.2,3.19
93,Torrey Smith,CAR,WR,1,DAL,3.19,2.1,66.7,25.8,0.1,0,8.7,13,0,0.1,0,0,0,0,3.2,3.19
95,Seth Roberts,OAK,WR,1,LAR,4.3,2.5,50,27.1,0.1,0,6.8,13.5,0,0,0,0,0.1,0.1,3.1,3.11
96,Bruce Ellington,HOU,WR,1,NE,3.17,2.1,66.7,23.3,0.1,0,7.7,11.5,0.1,0.8,0,0,0,0,3,3.01
97,Laquon Treadwell,MIN,WR,1,SF,2.88,1.9,66.7,23.7,0.1,0,8,12,0,0,0,0,0,0,3,2.97
97,Chris Conley,KC,WR,1,LAC,3.23,1.9,66.7,23.7,0.1,0,8,12,0,0,0,0,0,0,3,2.97
99,Cody Latimer,NYG,WR,1,JAX,3.02,1.8,66.7,22.3,0.1,0,7.3,11,0,0,0,0,0,0,2.8,2.83
100,Jermaine Kearse,NYJ,WR,1,DET,3.2,1.8,66.7,22.2,0.1,0,7.3,11,0,0,0,0,0,0,2.8,2.82
101,Jaron Brown,SEA,WR,1,DEN,2.09,1.6,100,22.1,0.1,0,11,11,0,0,0,0,0,0,2.8,2.81
102,Jeremy Kerley,BUF,WR,1,BAL,3.22,2,66.7,21.6,0.1,0,7.3,11,0,0,0,0,0,0,2.8,2.76
103,Brandon LaFell,OAK,WR,1,LAR,2.59,1.8,66.7,21.1,0.1,0,7,10.5,0,0,0,0,0,0,2.7,2.71
104,Kevin White,CHI,WR,1,GB,3,1.8,66.7,20.6,0.1,0,7,10.5,0.1,0.3,0,0,0,0,2.7,2.69
105,Keke Coutee,HOU,WR,1,NE,2.17,1.5,100,20.2,0.1,0,10,10,0,0.4,0,0,0,0,2.7,2.66
106,D.J. Chark,JAX,WR,1,NYG,2.02,1.5,100,20.2,0.1,0,10,10,0.1,0.2,0,0,0,0,2.6,2.64
107,Devante Parker,MIA,WR,1,TEN,3.6,2.4,50,25.8,0,0,6.5,13,0,0,0,0,0,0,2.6,2.58
108,TJ Jones,DET,WR,1,NYJ,2.5,1.5,100,18.8,0.1,0,9.5,9.5,0,0,0,0,0,0,2.5,2.48
109,Jakeem Grant,MIA,WR,1,TEN,1.8,1.3,50,16.9,0.1,0,8.5,17,0.1,0.6,0,0,0,0,2.4,2.35
109,Dante Pettis,SF,WR,1,MIN,2.47,1.4,50,17.3,0.1,0,8.5,17,0,0.2,0,0,0,0,2.4,2.35
111,Justin Hardy,ATL,WR,1,PHI,1.96,1.1,50,14.4,0.1,0,7,14,0,0.1,0,0,0,0,2,2.05
111,Andre Holmes,BUF,WR,1,BAL,1.79,1.3,50,14.5,0.1,0,7,14,0,0,0,0,0,0,2,2.05
113,Shelton Gibson,PHI,WR,1,ATL,1.64,1.2,50,14.3,0.1,0,7,14,0,0,0,0,0,0,2,2.03
114,Rashard Higgins,CLE,WR,1,PIT,1.9,1.1,50,14.1,0.1,0,7,14,0,0.1,0,0,0,0,2,2.02
115,Chris Moore,BAL,WR,1,BUF,1.58,1.2,50,13.4,0.1,0,6.5,13,0.2,0.6,0,0,0,0,2,2
116,Tavon Austin,DAL,WR,1,CAR,1.51,1,50,8.7,0,0,4.5,9,1.54,7.4,3.5,0,0,0,1.6,1.61
117,J'mon Moore,GB,WR,1,CHI,1.28,0.9,100,9.7,0.1,0,10,10,0,0.2,0,0,0,0,1.6,1.59
118,Daesean Hamilton,DEN,WR,1,SEA,1.47,1,100,11.5,0.1,0,12,12,0,0.2,0,0,0.1,0.1,1.6,1.57
119,Charone Peake,NYJ,WR,1,DET,1.2,0.8,100,9.5,0.1,0,10,10,0,0,0,0,0,0,1.6,1.55
120,Sammie Coates,HOU,WR,1,NE,1.25,0.8,100,13.2,0,0,13,13,0.1,0.1,0,0,0,0,1.3,1.33
121,Andre Roberts,NYJ,WR,1,DET,0.94,0.6,100,6.5,0.1,0,6,6,0,0,0,0,0,0,1.2,1.25
122,Chad Hansen,NE,WR,1,HOU,0.67,0.4,0,6.1,0.1,0,6,0,0,0,0,0,0,0,1.2,1.21
123,Jarius Wright,CAR,WR,1,DAL,1.44,0.9,100,11.5,0,0,12,12,0,0,0,0,0,0,1.2,1.15
124,Josh Reynolds,LAR,WR,1,OAK,1.31,0.8,100,10.4,0,0,10,10,0.1,0.6,0,0,0,0,1.1,1.1
125,Austin Carr,NO,WR,1,TB,1.61,0.9,50,10.7,0,0,5.5,11,0,0.1,0,0,0,0,1.1,1.08
126,Josh Bellamy,CHI,WR,1,GB,0.78,0.6,100,9.7,0,0,10,10,0,0.3,0,0,0,0,1,1
127,Tajae Sharpe,TEN,WR,1,MIA,1.31,0.8,100,9.8,0,0,10,10,0,0,0,0,0,0,1,0.98
128,Jordan Lasley,BAL,WR,1,BUF,1.36,0.8,100,9.3,0,0,9,9,0,0.1,0,0,0,0,0.9,0.94
129,Demarcus Robinson,KC,WR,1,LAC,1.23,0.7,100,8.5,0,0,8,8,0,0,0,0,0,0,0.8,0.85
130,Kendrick Bourne,SF,WR,1,MIN,1.05,0.6,100,7.6,0,0,8,8,0,0,0,0,0,0,0.8,0.76
131,Deonte Thompson,DAL,WR,1,CAR,0.76,0.5,0,6.9,0,0,7,0,0,0,0,0,0,0,0.7,0.69
132,Darrius Heyward-Bey,PIT,WR,1,CLE,0.7,0.4,0,6,0,0,6,0,0.1,0.6,0,0,0,0,0.7,0.66
133,Markus Wheaton,PHI,WR,1,ATL,0.65,0.5,0,6.5,0,0,6,0,0,0,0,0,0,0,0.6,0.65
134,Cody Core,CIN,WR,1,IND,1.07,0.6,100,5.9,0,0,6,6,0,0,0,0,0,0,0.6,0.59
135,Marquez Valdes-Scantling,GB,WR,1,CHI,0.82,0.5,0,5.2,0,0,5,0,0.1,0.6,0,0,0,0,0.6,0.58
136,Josh Malone,CIN,WR,1,IND,0.7,0.4,0,5.1,0,0,5,0,0,0.2,0,0,0,0,0.5,0.53
136,Mike Thomas,LAR,WR,1,OAK,0.34,0.2,0,5.3,0,0,0,0,0,0,0,0,0,0,0.5,0.53
138,Russell Shepard,NYG,WR,1,JAX,0.83,0.5,0,5.1,0,0,5,0,0,0.1,0,0,0,0,0.5,0.52
139,Dwayne Harris,OAK,WR,1,LAR,0.44,0.3,0,5.1,0,0,0,0,0,0,0,0,0,0,0.5,0.51
139,Pharoh Cooper,LAR,WR,1,OAK,1,0.6,100,4.7,0,0,5,5,0,0.4,0,0,0,0,0.5,0.51
141,Curtis Samuel,CAR,WR,1,DAL,0.55,0.4,0,4.3,0,0,4,0,0,0.7,0,0,0,0,0.5,0.5
142,Justin Watson,TB,WR,1,NO,0.61,0.4,0,4.7,0,0,5,0,0,0.1,0,0,0,0,0.5,0.48
143,Alex Erickson,CIN,WR,1,IND,0.43,0.3,0,4.5,0,0,0,0,0,0.2,0,0,0,0,0.5,0.47
144,Justin Hunter,PIT,WR,1,CLE,0.48,0.3,0,4.5,0,0,0,0,0,0,0,0,0,0,0.4,0.45
144,Trey Quinn,WAS,WR,1,ARI,0.62,0.4,0,4.4,0,0,4,0,0,0.1,0,0,0,0,0.4,0.45
146,Auden Tate,CIN,WR,1,IND,0.39,0.3,0,4.2,0,0,0,0,0,0.2,0,0,0,0,0.4,0.44
146,Damiere Byrd,CAR,WR,1,DAL,0.48,0.3,0,4.3,0,0,0,0,0,0.1,0,0,0,0,0.4,0.44
146,Andy Jones,DET,WR,1,NYJ,0.33,0.2,0,4.4,0,0,0,0,0,0,0,0,0,0,0.4,0.44
149,Freddie Martino,TB,WR,1,NO,0.34,0.2,0,4.3,0,0,0,0,0,0,0,0,0,0,0.4,0.43
149,Marlon Brown,CHI,WR,1,GB,0.29,0.2,0,4.3,0,0,0,0,0,0,0,0,0,0,0.4,0.43
151,Mack Hollins,PHI,WR,1,ATL,0.68,0.4,0,4.1,0,0,4,0,0,0,0,0,0,0,0.4,0.41
152,Russell Gage,ATL,WR,1,PHI,0.44,0.3,0,3.9,0,0,0,0,0,0.1,0,0,0,0,0.4,0.4
152,Richie James,SF,WR,1,MIN,0.45,0.3,0,3.9,0,0,0,0,0,0.1,0,0,0,0,0.4,0.4
154,David Moore,SEA,WR,1,DEN,0.46,0.3,0,3.9,0,0,0,0,0,0,0,0,0,0,0.4,0.39
154,Ryan Switzer,PIT,WR,1,CLE,0.53,0.3,0,3.7,0,0,4,0,0,0.2,0,0,0,0,0.4,0.39
156,De'Anthony Thomas,KC,WR,1,LAC,0.69,0.4,0,3.5,0,0,4,0,0,0.3,0,0,0,0,0.4,0.38
156,Trevor Davis,GB,WR,1,CHI,0.27,0.2,0,3.7,0,0,0,0,0,0.1,0,0,0,0,0.4,0.38
156,Bradley Marquez,DET,WR,1,NYJ,0.31,0.2,0,3.8,0,0,0,0,0,0,0,0,0,0,0.4,0.38
156,Jordan Taylor,DEN,WR,1,SEA,0.52,0.3,0,3.8,0,0,4,0,0,0,0,0,0,0,0.4,0.38
160,Javon Wims,CHI,WR,1,GB,0.53,0.3,0,3.6,0,0,4,0,0,0.1,0,0,0,0,0.4,0.37
161,Jaydon Mickens,JAX,WR,1,NYG,0.35,0.2,0,3.6,0,0,0,0,0,0,0,0,0,0,0.4,0.36
161,Geremy Davis,LAC,WR,1,KC,0.33,0.2,0,3.6,0,0,0,0,0,0,0,0,0,0,0.4,0.36
163,Equanimeous St. Brown,GB,WR,1,CHI,0.41,0.3,0,3.3,0,0,0,0,0,0.1,0,0,0,0,0.3,0.34
164,Tommylee Lewis,NO,WR,1,TB,0.51,0.3,0,4.6,0,0,5,0,0.1,0.7,0,0,0.1,0.1,0.3,0.33
165,Marcus Johnson,IND,WR,1,CIN,0.31,0.2,0,3.2,0,0,0,0,0,0,0,0,0,0,0.3,0.32
166,Ray-Ray McCloud,BUF,WR,1,BAL,0.34,0.2,0,2.7,0,0,0,0,0,0.1,0,0,0,0,0.3,0.28
167,Marvin Hall,ATL,WR,1,PHI,0.17,0.1,0,2.6,0,0,0,0,0,0,0,0,0,0,0.3,0.26
167,Noah Brown,DAL,WR,1,CAR,0.32,0.2,0,2.6,0,0,0,0,0,0,0,0,0,0,0.3,0.26
169,Maurice Harris,WAS,WR,1,ARI,0.34,0.2,0,2.5,0,0,0,0,0,0,0,0,0,0,0.2,0.25
170,Darius Jennings,TEN,WR,1,MIA,0.15,0.1,0,2.1,0,0,0,0,0,0,0,0,0,0,0.2,0.21
170,Stacy Coley,MIN,WR,1,SF,0.13,0.1,0,2.1,0,0,0,0,0,0,0,0,0,0,0.2,0.21
172,Tanner McEvoy,MIA,WR,1,TEN,0.17,0.1,0,1.7,0,0,0,0,0,0,0,0,0,0,0.2,0.17
173,Robert Foster,BUF,WR,1,BAL,0.17,0.1,0,1.6,0,0,0,0,0,0,0,0,0,0,0.2,0.16
174,Matthew Slater,NE,WR,1,HOU,0.17,0.1,0,1.5,0,0,0,0,0,0,0,0,0,0,0.2,0.15
175,Damion Ratley,CLE,WR,1,PIT,0.13,0.1,0,1.3,0,0,0,0,0,0.1,0,0,0,0,0.1,0.14
176,Kaelin Clay,NYG,WR,1,JAX,0.16,0.1,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0.03
177,Alshon Jeffery,PHI,WR,1,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,Jaleel Scott,BAL,WR,1,BUF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,Ricardo Louis,CLE,WR,1,PIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,Michael Campanaro,TEN,WR,1,MIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,Braxton Berrios,NE,WR,1,HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,Dan Arnold,NO,WR,1,TB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,Marcus Kemp,KC,WR,1,LAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,Artavis Scott,LAC,WR,1,KC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,Robert Davis,WAS,WR,1,ARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,Fred Ross,CAR,WR,1,DAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,Tim Patrick,DEN,WR,1,SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,Daniel Brown,CHI,WR,1,GB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,Jake Kumerow,GB,WR,1,CHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,Neal Sterling,NYJ,WR,1,DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,Deandre Carter,PHI,WR,1,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,James Wright,IND,WR,1,CIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,Krishawn Hogan,IND,WR,1,CIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,Aaron Burbridge,SF,WR,1,MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,Isaiah McKenzie,DEN,WR,1,SEA,0.14,0.1,0,0.9,0,0,0,0,0,0.1,0,0,0.1,0.1,-0.1,-0.1
