Name,Team,year,Week,Opponent,def_rk,h/a_1,surface_0
Adam Thielen,MIN,2018,9,DET,20,1.0,0.0
Antonio Brown,PIT,2018,9,BAL,25,0.0,1.0
DeAndre Hopkins,HOU,2018,9,DEN,26,0.0,1.0
Mike Evans,TB,2018,9,CAR,13,0.0,1.0
Tyreek Hill,KC,2018,9,CLE,12,0.0,1.0
Julio Jones,ATL,2018,9,WAS,11,0.0,1.0
Michael Thomas,NO,2018,9,LAR,8,1.0,0.0
Keenan Allen,LAC,2018,9,SEA,18,0.0,0.0
JuJu Smith-Schuster,PIT,2018,9,BAL,25,0.0,1.0
Robert Woods,LAR,2018,9,NO,21,0.0,0.0
Stefon Diggs,MIN,2018,9,DET,20,1.0,0.0
Brandin Cooks,LAR,2018,9,NO,21,0.0,0.0
Jarvis Landry,CLE,2018,9,KC,10,1.0,1.0
Emmanuel Sanders,DEN,2018,9,HOU,1,1.0,1.0
Cooper Kupp,LAR,2018,9,NO,21,0.0,0.0
Golden Tate,DET,2018,9,MIN,3,0.0,0.0
John Brown,BAL,2018,9,PIT,7,1.0,1.0
Calvin Ridley,ATL,2018,9,WAS,11,0.0,1.0
Devin Funchess,CAR,2018,9,TB,15,1.0,1.0
Kenny Golladay,DET,2018,9,MIN,3,0.0,0.0
Marvin Jones Jr.,DET,2018,9,MIN,3,0.0,0.0
Keke Coutee,HOU,2018,9,DEN,26,0.0,1.0
Doug Baldwin,SEA,2018,9,LAC,10,1.0,0.0
Allen Robinson II,CHI,2018,9,BUF,9,0.0,0.0
Tyler Lockett,SEA,2018,9,LAC,10,1.0,0.0
Taylor Gabriel,CHI,2018,9,BUF,9,0.0,0.0
Mohamed Sanu,ATL,2018,9,WAS,11,0.0,1.0
DeSean Jackson,TB,2018,9,CAR,13,0.0,1.0
Sammy Watkins,KC,2018,9,CLE,12,0.0,1.0
Michael Crabtree,BAL,2018,9,PIT,7,1.0,1.0
Danny Amendola,MIA,2018,9,NYJ,17,1.0,1.0
DeVante Parker,MIA,2018,9,NYJ,17,1.0,1.0
Demaryius Thomas,HOU,2018,9,DEN,26,0.0,1.0
Josh Reynolds,LAR,2018,9,NO,21,0.0,0.0
Chris Godwin,TB,2018,9,CAR,13,0.0,1.0
D.J. Moore,CAR,2018,9,TB,15,1.0,1.0
Kenny Stills,MIA,2018,9,NYJ,17,1.0,1.0
Robby Anderson,NYJ,2018,9,MIA,27,0.0,1.0
Antonio Callaway,CLE,2018,9,KC,10,1.0,1.0
Jermaine Kearse,NYJ,2018,9,MIA,27,0.0,1.0
Willie Snead IV,BAL,2018,9,PIT,7,1.0,1.0
Josh Doctson,WAS,2018,9,ATL,23,1.0,1.0
Tyrell Williams,LAC,2018,9,SEA,18,0.0,0.0
Tre'Quan Smith,NO,2018,9,LAR,8,1.0,0.0
Jamison Crowder,WAS,2018,9,ATL,23,1.0,1.0
Quincy Enunwa,NYJ,2018,9,MIA,27,0.0,1.0
Courtland Sutton,DEN,2018,9,HOU,1,1.0,1.0
David Moore,SEA,2018,9,LAC,10,1.0,0.0
Paul Richardson Jr.,WAS,2018,9,ATL,23,1.0,1.0
Mike Williams,LAC,2018,9,SEA,18,0.0,0.0
Anthony Miller,CHI,2018,9,BUF,9,0.0,0.0
Rashard Higgins,CLE,2018,9,KC,10,1.0,1.0
Jakeem Grant,MIA,2018,9,NYJ,17,1.0,1.0
Adam Humphries,TB,2018,9,CAR,13,0.0,1.0
Vyncint Smith,HOU,2018,9,DEN,26,0.0,1.0
Kelvin Benjamin,BUF,2018,9,CHI,4,1.0,0.0
Curtis Samuel,CAR,2018,9,TB,15,1.0,1.0
Torrey Smith,CAR,2018,9,TB,15,1.0,1.0
Damion Ratley,CLE,2018,9,KC,10,1.0,1.0
Rishard Matthews,NYJ,2018,9,MIA,27,0.0,1.0
Travis Benjamin,LAC,2018,9,SEA,18,0.0,0.0
Cameron Meredith,NO,2018,9,LAR,8,1.0,0.0
Zay Jones,BUF,2018,9,CHI,4,1.0,0.0
Jarius Wright,CAR,2018,9,TB,15,1.0,1.0
Andre Roberts,NYJ,2018,9,MIA,27,0.0,1.0
Deontay Burnett,NYJ,2018,9,MIA,27,0.0,1.0
James Washington,PIT,2018,9,BAL,25,0.0,1.0
Laquon Treadwell,MIN,2018,9,DET,20,1.0,0.0
Maurice Harris,WAS,2018,9,ATL,23,1.0,1.0
Brandon Marshall,SEA,2018,9,LAC,10,1.0,0.0
Chris Conley,KC,2018,9,CLE,12,0.0,1.0
Aldrick Robinson,MIN,2018,9,DET,20,1.0,0.0
Michael Floyd,WAS,2018,9,ATL,23,1.0,1.0
Andre Holmes,BUF,2018,9,CHI,4,1.0,0.0
Ryan Switzer,PIT,2018,9,BAL,25,0.0,1.0
Jaron Brown,SEA,2018,9,LAC,10,1.0,0.0
Cam Phillips,BUF,2018,9,CHI,4,1.0,0.0
Ray-Ray McCloud III,BUF,2018,9,CHI,4,1.0,0.0
Josh Bellamy,CHI,2018,9,BUF,9,0.0,0.0
Javon Wims,CHI,2018,9,BUF,9,0.0,0.0
Kevin White,CHI,2018,9,BUF,9,0.0,0.0
Justin Watson,TB,2018,9,CAR,13,0.0,1.0
Damiere Byrd,CAR,2018,9,TB,15,1.0,1.0
Da'Mari Scott,CLE,2018,9,KC,10,1.0,1.0
Breshad Perriman,CLE,2018,9,KC,10,1.0,1.0
Marcus Kemp,KC,2018,9,CLE,12,0.0,1.0
Demarcus Robinson,KC,2018,9,CLE,12,0.0,1.0
Leonte Carroo,MIA,2018,9,NYJ,17,1.0,1.0
ArDarius Stewart,NYJ,2018,9,MIA,27,0.0,1.0
Charone Peake,NYJ,2018,9,MIA,27,0.0,1.0
Eli Rogers,PIT,2018,9,BAL,25,0.0,1.0
Justin Hunter,PIT,2018,9,BAL,25,0.0,1.0
Darrius Heyward-Bey,PIT,2018,9,BAL,25,0.0,1.0
Jordan Lasley,BAL,2018,9,PIT,7,1.0,1.0
Chris Moore,BAL,2018,9,PIT,7,1.0,1.0
Quincy Adeboyejo,BAL,2018,9,PIT,7,1.0,1.0
Jaleel Scott,BAL,2018,9,PIT,7,1.0,1.0
Brandon Powell,DET,2018,9,MIN,3,0.0,0.0
TJ Jones,DET,2018,9,MIN,3,0.0,0.0
Brandon Zylstra,MIN,2018,9,DET,20,1.0,0.0
Marvin Hall,ATL,2018,9,WAS,11,0.0,1.0
Russell Gage,ATL,2018,9,WAS,11,0.0,1.0
Justin Hardy,ATL,2018,9,WAS,11,0.0,1.0
Brian Quick,WAS,2018,9,ATL,23,1.0,1.0
Jehu Chesson,WAS,2018,9,ATL,23,1.0,1.0
Will Fuller V,HOU,2018,9,DEN,26,0.0,1.0
Sammie Coates Jr.,HOU,2018,9,DEN,26,0.0,1.0
Bruce Ellington,HOU,2018,9,DEN,26,0.0,1.0
Jordan Taylor,DEN,2018,9,HOU,1,1.0,1.0
Tim Patrick,DEN,2018,9,HOU,1,1.0,1.0
DaeSean Hamilton,DEN,2018,9,HOU,1,1.0,1.0
Isaiah McKenzie,DEN,2018,9,HOU,1,1.0,1.0
Geremy Davis,LAC,2018,9,SEA,18,0.0,0.0
Artavis Scott,LAC,2018,9,SEA,18,0.0,0.0
JoJo Natson Jr.,LAR,2018,9,NO,21,0.0,0.0
Nick Williams,LAR,2018,9,NO,21,0.0,0.0
KhaDarel Hodge,LAR,2018,9,NO,21,0.0,0.0
Austin Carr,NO,2018,9,LAR,8,1.0,0.0
Ted Ginn Jr.,NO,2018,9,LAR,8,1.0,0.0
